Date,Product,Price,Quantity
2024-03-31,Congress,80.17,4
2024-04-15,Mrs,17.11,9
2024-04-21,Support,35.96,2
2024-04-20,Plan,81.31,8
2024-04-04,Doctor,65.45,3
2024-04-01,Charge,77.44,9
2024-04-26,Positive,44.93,3
2024-04-13,Employee,62.02,8
2024-04-24,Success,44.9,8
2024-04-08,Father,21.63,1
2024-04-10,Just,20.09,6
2024-04-20,Model,75.28,8
2024-04-12,Local,47.22,3
2024-04-16,According,78.22,5
2024-04-16,Brother,33.57,4
2024-04-11,Fish,17.07,9
2024-04-12,Beyond,24.76,7
2024-04-13,Important,41.0,1
2024-04-02,Remember,99.73,10
2024-04-02,Federal,58.53,2
2024-04-12,Cause,42.52,1
2024-04-22,Her,80.01,7
2024-03-30,Discussion,89.2,2
2024-04-04,Truth,90.64,3
2024-04-18,No,41.73,2
2024-04-19,Despite,60.3,5
2024-04-24,Think,84.62,1
2024-03-30,Media,61.54,5
2024-04-26,Daughter,99.96,10
2024-04-16,Ready,93.35,3
2024-04-14,Beyond,47.69,10
2024-04-26,Decide,66.13,7
2024-04-28,Investment,96.82,8
2024-04-10,Board,24.88,3
2024-04-13,American,78.89,2
2024-03-30,Building,95.3,1
2024-04-09,Win,89.87,5
2024-04-07,Center,46.02,9
2024-04-14,Front,78.0,3
2024-04-24,Amount,96.72,1
2024-04-12,Leader,83.18,5
2024-04-08,Important,59.35,1
2024-04-23,Left,88.49,1
2024-04-25,Tough,65.63,6
2024-04-14,Result,47.99,6
2024-04-10,Wait,86.47,8
2024-04-11,Evidence,99.33,1
2024-04-26,Near,46.8,5
2024-04-10,Interesting,95.86,9
2024-04-20,Recognize,93.47,3
2024-04-18,Nearly,47.29,7
2024-04-27,Subject,60.15,8
2024-04-08,Every,11.11,3
2024-04-17,Land,68.96,10
2024-04-14,Career,49.64,10
2024-04-13,Amount,77.95,6
2024-04-03,Fine,11.68,3
2024-04-05,This,69.56,1
2024-04-13,Past,69.65,8
2024-04-02,Trouble,14.57,7
2024-04-07,Style,88.13,8
2024-04-03,Property,25.17,1
2024-04-26,Start,66.48,4
2024-04-01,Into,88.15,4
2024-04-26,Thing,76.39,1
2024-04-15,Hope,60.4,10
2024-03-30,Draw,75.59,1
2024-04-21,Wall,44.22,4
2024-04-06,Republican,62.61,5
2024-04-05,Else,41.9,1
2024-04-25,Benefit,61.07,4
2024-04-23,Human,72.8,6
2024-04-05,Machine,35.74,10
2024-04-23,Inside,18.09,8
2024-04-25,Choose,51.1,9
2024-04-22,Direction,68.19,2
2024-04-05,Spring,55.95,6
2024-04-08,Year,33.07,8
2024-04-24,Travel,65.49,6
2024-04-12,Always,21.46,8
2024-04-27,Cup,30.25,8
2024-04-05,Body,37.27,1
2024-04-14,Push,29.13,8
2024-04-11,See,25.29,4
2024-04-27,Mean,77.5,6
2024-04-04,Course,43.42,3
2024-04-21,Most,69.42,9
2024-04-08,Building,40.05,9
2024-04-04,Woman,44.02,8
2024-03-31,True,16.01,2
2024-04-21,Inside,95.03,4
2024-04-15,Action,13.49,8
2024-04-14,Party,29.82,7
2024-04-21,Few,87.99,8
2024-03-31,Into,99.73,9
2024-04-07,Dinner,69.19,1
2024-04-20,Experience,55.21,3
2024-04-02,Together,60.19,1
2024-03-31,Lawyer,91.81,10
2024-04-03,Yet,32.46,8
2024-04-11,Return,32.34,3
2024-04-07,Win,86.63,4
2024-04-17,Should,12.89,10
2024-04-02,Develop,70.07,8
2024-04-10,Page,72.61,9
2024-04-13,Teach,96.73,6
2024-04-05,Worker,12.86,9
2024-04-28,True,51.54,5
2024-04-25,Always,59.2,5
2024-04-05,Less,52.2,6
2024-04-15,Partner,31.77,8
2024-04-24,Wide,13.17,7
2024-04-25,Number,55.95,7
2024-04-23,Treat,34.48,9
2024-03-31,Chair,43.45,2
2024-04-21,Board,68.42,10
2024-04-14,Reach,26.15,7
2024-04-23,Standard,16.0,8
2024-04-27,Floor,13.38,8
2024-04-25,Later,51.84,4
2024-04-20,Guess,55.95,10
2024-03-31,Red,53.3,1
2024-04-05,Civil,99.28,7
2024-04-24,Opportunity,99.36,9
2024-04-25,Create,50.4,4
2024-04-10,Free,62.91,7
2024-04-09,Standard,35.46,9
2024-03-31,Budget,25.58,4
2024-04-09,Front,40.56,4
2024-04-08,Unit,61.57,7
2024-04-14,Visit,36.83,1
2024-04-24,Single,22.53,10
2024-04-20,Laugh,85.55,2
2024-04-01,Before,32.32,7
2024-04-04,Month,66.58,6
2024-04-17,Itself,35.22,2
2024-04-09,Special,74.18,7
2024-04-24,Green,39.57,7
2024-04-05,Rise,12.58,3
2024-04-22,Big,42.04,4
2024-03-30,Old,46.68,6
2024-04-02,Month,55.16,10
2024-04-06,Citizen,85.56,2
2024-04-27,Military,67.86,3
2024-04-06,Down,96.59,3
2024-04-23,When,40.78,9
2024-04-05,Also,88.34,6
2024-03-31,Film,42.37,9
2024-04-01,Benefit,86.68,9
2024-04-05,Coach,97.84,7
2024-04-23,Piece,71.19,9
2024-04-25,Inside,16.33,8
2024-04-06,Field,98.87,5
2024-04-09,Support,71.94,4
2024-04-07,Them,66.01,7
2024-04-28,Play,84.68,2
2024-04-21,Store,83.66,5
2024-03-31,Just,28.28,3
2024-04-03,Spring,97.11,7
2024-04-26,Country,55.51,7
2024-04-26,Watch,29.32,4
2024-04-09,Sign,51.87,2
2024-04-15,Try,79.23,1
2024-04-19,Worry,54.08,7
2024-04-27,Join,90.82,9
2024-04-15,Serious,87.17,10
2024-04-27,Peace,10.41,1
2024-04-14,Maintain,53.29,5
2024-04-19,Note,74.62,6
2024-04-12,Clear,42.8,10
2024-04-15,Fight,36.1,8
2024-04-16,Question,86.01,1
2024-04-22,Common,44.92,2
2024-04-08,Choose,74.97,9
2024-04-20,Prove,25.11,8
2024-04-08,Million,45.07,8
2024-03-31,In,44.63,5
2024-04-01,Ever,85.72,3
2024-04-01,Raise,77.21,3
2024-03-30,Mr,12.7,5
2024-04-26,Design,80.64,6
2024-03-30,Article,71.0,2
2024-04-10,Risk,72.96,10
2024-04-15,Similar,23.22,1
2024-04-12,Poor,53.0,1
2024-04-05,Provide,13.0,3
2024-04-21,Garden,43.28,10
2024-04-17,Again,21.48,10
2024-04-23,Although,30.15,1
2024-04-06,Man,75.23,6
2024-04-08,Cause,50.91,5
2024-04-26,Military,73.87,8
2024-04-28,Song,27.8,8
2024-04-06,Town,76.12,9
2024-04-23,Either,70.9,2
2024-04-22,Impact,49.13,5
2024-04-28,Full,82.82,9
2024-04-11,Behavior,53.72,10
2024-04-10,Although,24.18,9
2024-04-14,Professor,90.35,5
2024-04-25,Chance,41.94,6
2024-04-24,If,36.98,1
2024-04-04,Themselves,74.59,6
2024-04-06,Modern,69.47,9
2024-04-07,Plant,72.84,2
2024-04-21,Middle,26.42,5
2024-04-15,Rich,26.12,3
2024-04-06,Become,94.74,4
2024-04-16,Girl,94.02,8
2024-04-04,West,25.58,10
2024-04-03,Spring,68.02,4
2024-04-06,Season,24.93,4
2024-04-19,Learn,10.66,9
2024-04-28,Let,18.72,9
2024-04-11,Under,27.96,10
2024-04-25,Traditional,22.92,5
2024-04-23,Four,18.56,3
2024-04-27,Million,39.96,4
2024-04-08,Middle,47.22,5
2024-04-05,North,16.05,2
2024-04-26,Argue,17.85,8
2024-04-13,Hear,21.87,6
2024-04-01,Herself,70.31,7
2024-04-21,Method,23.16,5
2024-04-04,Appear,34.26,1
2024-04-08,Citizen,98.18,9
2024-04-19,Low,38.07,9
2024-04-09,Stay,59.42,6
2024-03-31,Party,67.66,6
2024-04-11,Recognize,53.23,2
2024-04-05,Entire,44.41,10
2024-04-18,Soldier,77.91,7
2024-04-08,Suffer,79.08,3
2024-04-22,Reflect,56.58,1
2024-04-19,Them,52.22,9
2024-04-17,Design,56.94,6
2024-04-07,Address,55.28,8
2024-04-01,Admit,46.9,7
2024-04-08,Find,87.42,5
2024-04-12,Debate,28.31,5
2024-04-15,Newspaper,51.38,3
2024-04-03,Record,80.92,6
2024-04-21,Cut,31.52,3
2024-04-01,Million,10.89,1
2024-04-22,It,77.11,2
2024-04-17,Team,76.08,8
2024-04-16,Artist,21.46,7
2024-04-25,Color,43.67,10
2024-04-20,Together,18.74,9
2024-04-18,Sort,56.98,5
2024-04-15,Building,98.24,1
2024-04-24,Thus,16.99,6
2024-03-30,A,97.19,9
2024-03-31,Training,23.79,7
2024-04-01,Heart,30.65,5
2024-04-13,Also,18.44,10
2024-04-20,Government,87.36,10
2024-04-02,Than,76.98,5
2024-04-24,Now,89.87,1
2024-04-15,Drive,73.99,1
2024-04-27,Place,17.83,9
2024-04-10,Risk,95.04,6
2024-04-25,Sound,34.42,5
2024-04-14,Million,68.67,9
2024-04-19,Interview,11.32,4
2024-04-06,Treat,97.15,10
2024-04-23,Summer,84.74,5
2024-04-19,School,40.98,8
2024-04-05,Participant,18.27,1
2024-04-09,Doctor,93.46,3
2024-04-04,Special,62.27,3
2024-04-28,Sound,71.69,10
2024-04-15,Both,48.39,1
2024-04-28,Out,38.2,2
2024-04-04,Would,65.68,3
2024-04-27,Side,80.26,6
2024-04-14,Create,16.01,5
2024-04-11,About,31.08,5
2024-03-31,Stand,32.51,2
2024-04-03,That,51.22,8
2024-03-30,Himself,74.87,5
2024-04-03,Industry,71.59,10
2024-04-17,Almost,28.27,5
2024-04-14,Painting,25.73,10
2024-04-07,Join,70.59,7
2024-03-31,Speech,52.62,3
2024-04-19,Worry,62.88,2
2024-04-18,Summer,58.53,6
2024-04-06,Health,32.74,9
2024-04-12,Red,56.29,10
2024-04-11,Nor,15.75,4
2024-04-14,Father,63.69,4
2024-04-06,Rich,73.27,5
2024-04-11,Accept,67.96,10
2024-04-22,Time,50.97,10
2024-04-25,Natural,48.44,4
2024-04-15,Number,46.43,4
2024-04-04,Cost,15.9,3
2024-04-28,Area,84.88,2
2024-04-15,Life,20.64,6
2024-04-05,Heart,51.72,2
2024-04-25,Generation,25.8,9
2024-03-31,Camera,61.43,1
2024-04-17,International,28.05,5
2024-04-17,Half,31.55,10
2024-04-17,Young,85.71,8
2024-04-27,True,66.96,1
2024-04-03,Possible,49.68,1
2024-04-17,Share,64.56,5
2024-04-22,Choose,48.21,4
2024-04-10,Everyone,11.44,10
2024-04-04,Break,92.39,3
2024-04-10,Stand,87.64,9
2024-04-28,Message,92.09,4
2024-04-09,Perform,45.75,2
2024-04-11,Garden,19.41,8
2024-04-26,Evidence,58.38,2
2024-04-04,Open,33.77,5
2024-04-20,Face,90.18,6
2024-04-24,Although,16.36,1
2024-04-03,From,77.04,8
2024-03-30,Usually,41.95,4
2024-04-20,Year,89.5,3
2024-04-09,Season,18.72,7
2024-04-12,Gun,44.2,6
2024-04-18,Into,55.77,5
2024-04-05,Would,67.14,10
2024-04-12,Option,17.57,10
2024-04-01,Crime,88.84,1
2024-03-30,Industry,22.31,9
2024-04-13,Indicate,74.21,9
2024-03-31,Career,24.47,3
2024-04-12,Congress,91.05,3
2024-04-12,Economic,25.61,5
2024-03-30,Party,57.54,3
2024-04-23,Consumer,77.01,8
2024-04-19,Voice,89.03,10
2024-04-06,Fill,17.43,3
2024-04-14,Building,36.45,2
2024-04-18,Star,49.92,8
2024-04-08,Night,55.8,10
2024-03-30,Crime,89.08,3
2024-04-25,Because,57.09,10
2024-04-14,Agency,33.39,2
2024-04-02,Many,27.22,1
2024-04-24,Can,70.99,2
2024-03-30,Score,51.0,8
2024-04-03,Her,76.11,2
2024-04-02,Million,98.29,4
2024-04-03,Same,56.16,2
2024-04-22,Level,35.16,6
2024-04-23,Billion,89.25,3
2024-04-17,Serve,54.24,8
2024-04-16,Risk,95.95,2
2024-04-11,Knowledge,27.94,2
2024-04-12,Third,28.24,3
2024-04-12,Individual,74.2,8
2024-04-09,Member,42.09,1
2024-04-25,Show,31.1,5
2024-04-05,Cold,61.58,3
2024-04-07,Question,51.67,5
2024-04-21,Current,97.7,6
2024-04-08,Present,49.1,6
2024-04-28,Option,93.4,2
2024-04-22,Also,70.05,3
2024-04-09,North,29.92,5
2024-04-25,Look,37.16,8
2024-04-05,Determine,73.76,8
2024-04-07,American,22.33,10
2024-04-15,Hospital,37.11,3
2024-04-25,Public,73.64,3
2024-04-04,Almost,53.48,5
2024-04-16,Sister,33.9,1
2024-04-19,Lay,95.16,6
2024-04-19,Enter,73.4,10
2024-04-27,End,96.51,9
2024-04-04,Necessary,41.17,10
2024-04-26,Before,67.61,10
2024-04-02,Both,21.65,8
2024-04-16,Prepare,30.94,6
2024-04-14,Race,53.11,4
2024-04-20,Field,82.15,7
2024-04-12,While,49.61,8
2024-04-21,However,97.32,1
2024-04-15,Movement,82.48,8
2024-04-16,Perform,55.69,4
2024-04-10,Movie,32.06,2
2024-04-06,Get,93.8,3
2024-04-15,Our,57.65,4
2024-04-06,Where,24.13,9
2024-03-31,Indeed,40.12,7
2024-04-02,Treat,21.12,5
2024-04-10,Itself,66.77,10
2024-04-22,President,96.5,5
2024-04-16,Same,72.89,8
2024-04-09,Business,71.85,2
2024-03-31,Very,27.35,3
2024-04-08,Baby,68.84,10
2024-04-09,Role,11.51,5
2024-04-28,Attorney,35.01,4
2024-04-19,Almost,84.96,2
2024-04-05,Fish,17.22,3
2024-04-12,Peace,62.05,3
2024-04-28,Dark,37.69,9
2024-04-12,See,93.38,1
2024-04-16,Director,70.49,8
2024-04-03,Account,33.49,1
2024-04-11,Scene,62.45,6
2024-04-12,Contain,56.63,6
2024-04-03,Century,14.53,7
2024-04-03,Point,84.06,7
2024-04-04,So,53.79,3
2024-04-26,Either,34.52,1
2024-04-02,Me,24.92,5
2024-04-26,Chair,43.49,9
2024-04-23,Spend,89.91,6
2024-04-08,I,56.95,3
2024-04-02,But,41.35,2
2024-03-31,Recent,26.17,3
2024-04-15,Baby,53.74,9
2024-04-01,Product,67.34,9
2024-04-15,Wait,75.49,10
2024-04-17,Dinner,93.92,7
2024-04-05,Where,89.14,9
2024-04-01,Check,44.02,7
2024-04-09,Sell,96.49,8
2024-04-22,Tell,19.95,9
2024-03-31,Protect,23.47,9
2024-04-16,By,17.56,3
2024-04-20,Write,91.13,7
2024-03-31,Not,42.77,8
2024-04-06,Move,54.06,1
2024-04-27,Benefit,18.88,5
2024-04-02,Order,10.6,6
2024-04-05,Pay,20.45,7
2024-03-30,Article,37.61,10
2024-04-26,Probably,12.57,8
2024-04-05,Population,74.32,10
2024-04-05,Loss,80.22,3
2024-04-09,Deal,53.84,9
2024-04-14,Standard,94.68,9
2024-04-08,Her,41.19,5
2024-04-16,Whose,17.04,7
2024-04-17,Bar,24.0,6
2024-04-06,Back,99.68,8
2024-04-27,Dream,34.77,7
2024-04-28,This,50.59,8
2024-04-27,Few,17.38,5
2024-04-21,Partner,74.05,1
2024-03-30,Interview,55.99,8
2024-04-23,Key,31.14,3
2024-04-25,On,49.84,10
2024-04-25,Officer,79.32,2
2024-04-05,Lot,67.65,1
2024-04-08,Focus,86.21,2
2024-04-12,Consumer,29.35,3
2024-04-20,Chance,80.81,5
2024-04-12,Yes,63.9,9
2024-04-23,Hour,38.62,1
2024-04-01,Material,96.17,7
2024-04-10,Major,48.13,8
2024-04-05,Indeed,90.52,10
2024-04-28,Case,97.12,6
2024-04-15,Security,55.88,8
2024-04-15,Evidence,79.42,7
2024-04-13,Him,72.14,10
2024-03-30,Window,93.29,3
2024-04-02,Lead,41.51,4
2024-04-02,Leader,95.16,7
2024-04-16,Analysis,34.81,9
2024-04-13,Discussion,86.22,7
2024-04-28,Share,15.94,10
2024-04-22,For,55.47,4
2024-04-16,Because,29.74,1
2024-04-27,Tend,94.14,8
2024-04-26,Write,52.93,6
2024-04-24,Short,93.72,9
2024-04-24,Account,38.33,5
2024-04-16,Arrive,95.46,1
2024-04-03,Within,69.7,9
2024-04-04,Why,35.69,8
2024-04-28,Lose,31.05,2
2024-04-05,Say,95.71,6
2024-04-11,Hope,72.7,2
2024-04-18,Dog,19.69,7
2024-04-09,Wall,99.98,9
2024-04-21,Provide,97.31,9
2024-04-09,Charge,77.0,6
2024-04-04,Never,74.44,1
2024-04-25,Piece,55.99,4
2024-04-27,Focus,84.13,1
2024-04-09,When,44.4,2
2024-04-13,Sing,84.19,7
2024-04-14,Pay,21.2,2
2024-04-09,Toward,68.89,6
2024-04-02,Decide,15.63,10
2024-04-20,Small,11.93,5
2024-04-28,They,18.57,2
2024-04-07,Mr,38.82,3
2024-04-22,Plant,22.37,2
2024-04-26,Some,31.5,10
2024-04-19,Woman,46.36,9
2024-04-07,Risk,65.69,2
2024-04-04,Top,61.1,2
2024-04-14,Participant,67.53,10
2024-04-15,Accept,51.11,6
2024-04-03,Personal,10.78,5
2024-04-03,Yes,12.0,9
2024-04-23,Professor,24.41,10
2024-04-28,Support,39.62,3
2024-04-02,Skin,70.68,4
2024-04-08,Beyond,94.17,6
2024-04-09,Forward,38.54,3
2024-04-20,Left,15.83,8
2024-04-23,Few,66.15,10
2024-04-06,Too,50.44,2
2024-03-31,Produce,13.66,3
2024-04-14,Southern,49.9,3
2024-04-08,Level,71.46,3
2024-04-28,Off,38.3,5
2024-04-02,Country,37.73,10
2024-04-01,Continue,61.81,5
2024-04-01,Red,57.73,8
2024-04-17,Middle,96.12,7
2024-04-02,Make,33.48,10
2024-04-26,Throw,36.91,9
2024-04-20,Yet,72.75,5
2024-04-17,Choose,36.74,2
2024-04-17,Budget,67.28,2
2024-04-27,Position,88.51,2
2024-04-02,Section,60.41,10
2024-04-15,Recognize,48.64,5
2024-04-15,Surface,93.86,1
2024-04-19,Pretty,70.81,9
2024-04-20,True,30.72,1
2024-04-01,Skin,76.7,2
2024-04-11,Others,10.17,4
2024-04-27,Assume,92.01,3
2024-04-24,Per,78.41,7
2024-04-19,Also,81.6,8
2024-04-15,Field,34.08,7
2024-04-06,Much,39.98,10
2024-04-16,Blood,20.72,7
2024-04-16,Believe,67.42,10
2024-03-31,Our,13.08,3
2024-04-11,Next,39.57,10
2024-04-04,Half,96.41,9
2024-04-04,Way,85.2,4
2024-03-31,Discover,54.1,6
2024-04-23,Teach,31.67,3
2024-04-16,Actually,67.61,9
2024-04-01,Plant,62.02,1
2024-04-18,Course,15.49,3
2024-04-14,System,71.35,5
2024-04-25,Pressure,96.23,7
2024-04-25,Explain,36.0,9
2024-04-10,View,88.56,6
2024-04-09,Voice,43.2,1
2024-04-11,Plan,78.28,7
2024-04-24,Participant,23.66,10
2024-04-21,Anything,56.01,1
2024-04-05,All,47.51,2
2024-04-03,Or,84.68,10
2024-04-19,Southern,85.47,7
2024-04-08,Ten,55.22,8
2024-04-06,Soon,55.51,2
2024-04-08,Thing,63.31,2
2024-04-06,Foreign,48.52,5
2024-04-14,Blood,70.55,9
2024-04-18,Beyond,17.32,3
2024-04-18,Who,59.1,3
2024-04-13,Simply,94.09,5
2024-04-14,Cover,99.3,8
2024-04-18,South,18.98,8
2024-04-13,Brother,11.45,2
2024-04-04,Style,35.61,8
2024-04-12,Why,44.7,3
2024-04-26,Technology,51.89,6
2024-04-26,Fight,39.25,1
2024-04-18,Seem,98.47,9
2024-04-23,She,75.65,7
2024-04-03,Charge,34.4,7
2024-04-12,Radio,93.09,3
2024-04-27,Score,20.47,10
2024-04-23,Clearly,97.41,5
2024-04-17,Rest,74.07,10
2024-04-21,Finally,12.41,8
2024-04-15,Reach,93.99,7
2024-04-17,Send,12.63,9
2024-04-17,Reveal,41.73,2
2024-04-26,Road,77.51,8
2024-03-31,Media,36.5,2
2024-04-02,Mean,55.34,6
2024-04-05,Give,26.56,7
2024-04-11,Do,13.22,8
2024-04-17,Young,95.91,4
2024-04-04,Yes,17.17,6
2024-04-11,My,90.94,5
2024-04-03,Final,29.48,10
2024-04-25,Help,73.93,4
2024-04-28,Line,76.43,1
2024-04-01,Wall,23.38,2
2024-04-06,Identify,76.74,1
2024-04-09,Mind,27.27,2
2024-04-04,Operation,72.12,7
2024-04-20,Research,99.91,9
2024-04-07,Account,69.97,1
2024-04-19,Factor,44.18,1
2024-04-24,Until,70.79,1
2024-03-30,Bank,50.82,9
2024-04-20,Past,44.82,10
2024-04-15,Require,17.19,8
2024-04-15,Through,48.89,4
2024-04-04,Political,37.5,7
2024-04-02,Could,60.76,4
2024-04-05,Charge,65.16,6
2024-03-30,Treatment,99.65,2
2024-04-14,Economic,54.2,5
2024-04-27,Middle,39.78,4
2024-04-28,Soldier,29.37,5
2024-04-08,Development,63.8,1
2024-04-02,Western,52.72,4
2024-04-20,Plant,75.74,1
2024-04-12,Bank,71.45,10
2024-04-06,Population,45.65,2
2024-04-03,Mind,95.07,3
2024-04-16,Certainly,24.03,3
2024-04-21,Travel,34.35,9
2024-03-30,Least,97.69,5
2024-04-02,Fly,56.14,5
2024-04-14,Account,31.93,9
2024-04-05,Music,60.69,4
2024-04-10,Suggest,46.29,1
2024-04-18,Set,35.47,7
2024-04-22,Cultural,65.18,8
2024-04-05,Leave,43.05,4
2024-04-05,Charge,45.05,2
2024-04-01,Bring,70.75,1
2024-03-30,Game,38.69,4
2024-04-08,Toward,97.41,7
2024-04-18,Paper,86.12,5
2024-04-13,Produce,59.63,4
2024-04-06,Mission,29.04,7
2024-04-16,Red,38.44,7
2024-04-14,Try,29.94,4
2024-04-21,Happen,65.67,9
2024-04-05,Because,97.37,7
2024-04-07,Sell,19.44,5
2024-04-13,Economy,64.28,7
2024-04-04,College,39.0,6
2024-04-05,Particularly,17.43,9
2024-04-10,Here,87.41,4
2024-04-22,Great,26.74,7
2024-04-20,Strategy,35.18,10
2024-04-25,Table,21.89,4
2024-04-05,Program,63.1,7
2024-04-02,Million,67.35,6
2024-03-31,Rich,86.68,2
2024-03-31,Up,94.56,4
2024-04-22,Great,34.94,7
2024-04-07,In,61.13,4
2024-04-17,Now,48.76,1
2024-04-21,Talk,55.62,7
2024-04-22,Edge,57.81,3
2024-04-03,Relate,77.84,8
2024-04-04,Yet,89.47,9
2024-04-17,Education,77.32,6
2024-04-20,Direction,80.43,3
2024-04-04,Thousand,25.51,2
2024-04-18,Mrs,73.91,6
2024-04-09,Dog,34.98,5
2024-04-28,Face,28.41,7
2024-04-25,Series,33.56,3
2024-04-03,It,61.19,10
2024-04-09,Star,40.21,6
2024-04-06,Religious,79.05,9
2024-04-11,Note,49.47,2
2024-04-12,Maybe,89.37,9
2024-04-23,Either,41.34,1
2024-04-24,Than,72.55,9
2024-04-17,Sell,68.69,8
2024-04-01,Skill,19.21,4
2024-04-07,Student,74.63,2
2024-04-06,Far,85.5,1
2024-04-28,Material,87.94,5
2024-04-12,Involve,76.59,5
2024-04-21,Cause,88.76,4
2024-04-21,On,98.83,7
2024-04-20,Woman,39.63,2
2024-04-25,Some,14.22,1
2024-04-22,Identify,11.94,10
2024-04-12,Impact,73.87,10
2024-04-07,Family,16.67,7
2024-04-15,First,66.91,8
2024-04-07,High,18.1,7
2024-04-06,Bring,31.92,5
2024-04-23,Why,22.4,2
2024-04-12,Item,38.27,4
2024-04-11,Pretty,39.76,5
2024-04-11,Risk,46.89,8
2024-03-31,Art,68.24,9
2024-04-09,Benefit,73.55,8
2024-04-21,Professor,70.69,7
2024-04-03,Edge,95.76,7
2024-03-31,Argue,25.94,5
2024-04-03,Effort,69.95,5
2024-04-13,Age,26.05,4
2024-04-10,Director,92.32,4
2024-04-02,Down,56.77,1
2024-04-27,Want,39.7,6
2024-04-24,Window,69.59,7
2024-04-03,Region,69.23,9
2024-04-24,Good,14.38,4
2024-04-13,Fine,41.68,1
2024-04-05,Kitchen,82.76,9
2024-04-26,Already,60.29,6
2024-04-02,Reason,22.84,10
2024-04-25,Spring,26.2,8
2024-04-11,Increase,51.05,3
2024-03-30,Their,57.77,9
2024-04-14,Cause,31.09,1
2024-03-31,Manage,30.51,4
2024-04-28,Eat,49.43,1
2024-04-10,Sport,50.38,2
2024-04-18,Page,37.42,1
2024-04-07,Kitchen,69.41,6
2024-04-11,Condition,43.72,6
2024-04-16,Crime,83.95,7
2024-04-04,Produce,55.45,2
2024-04-08,Only,49.35,4
2024-04-20,Unit,85.04,10
2024-04-04,Close,34.15,10
2024-04-27,No,16.32,2
2024-04-23,Contain,48.92,2
2024-04-08,Peace,44.96,4
2024-04-12,Kitchen,60.68,5
2024-04-06,Eye,11.8,2
2024-04-19,Tend,96.38,6
2024-04-20,The,24.16,7
2024-04-12,Human,29.78,2
2024-04-12,Keep,92.03,8
2024-04-14,Whose,38.97,5
2024-04-15,Foreign,97.91,5
2024-04-17,Any,12.71,3
2024-04-15,History,87.94,4
2024-04-27,Turn,15.12,6
2024-04-25,Foot,26.87,7
2024-04-13,Us,33.11,4
2024-04-26,West,66.57,8
