severity,req#,subject,logged_date,last_updated,service
medium,100196,Printer not responding,04/01/2023 00:36:32 IST,04/03/2023 05:36:32 IST,Service 1
high,100199,Toner not recognized,07/23/2023 15:59:32 IST,07/24/2023 14:59:32 IST,Service 6
medium,100200,Driver installation error,08/04/2023 00:44:19 IST,08/05/2023 10:44:19 IST,Service 1
low,100205,Toner not recognized,11/26/2023 19:02:03 IST,11/27/2023 23:02:03 IST,Service 8
low,100206,Network issues,06/30/2023 15:52:50 IST,07/02/2023 13:52:50 IST,Service 5
high,100210,Printer spooler error,08/09/2023 08:27:05 IST,08/09/2023 15:27:05 IST,Service 3
high,100214,Driver installation error,09/05/2023 06:37:06 IST,09/06/2023 05:37:06 IST,Service 9
medium,100217,Slow printing,01/28/2023 08:17:56 IST,01/29/2023 03:17:56 IST,Service 2
critical,100221,Paper jam,06/09/2023 17:57:30 IST,06/12/2023 12:57:30 IST,Service 4
low,100223,Network issues,07/25/2023 13:11:12 IST,07/27/2023 11:11:12 IST,Service 1
critical,100226,Slow printing,03/28/2023 19:27:36 IST,03/30/2023 11:27:36 IST,Service 5
low,100228,Driver installation error,02/06/2023 18:21:31 IST,02/08/2023 11:21:31 IST,Service 9
high,100232,Driver installation error,11/23/2023 22:56:28 IST,11/25/2023 05:56:28 IST,Service 2
low,100233,Paper jam,08/06/2023 17:46:34 IST,08/08/2023 08:46:34 IST,Service 4
low,100237,Slow printing,02/15/2023 01:36:32 IST,02/15/2023 08:36:32 IST,Service 9
high,100239,Printer spooler error,11/25/2023 18:39:33 IST,11/27/2023 04:39:33 IST,Service 3
medium,100243,Low ink warning,05/03/2023 11:25:30 IST,05/05/2023 21:25:30 IST,Service 10
high,100244,Paper jam,06/23/2023 02:33:25 IST,06/24/2023 06:33:25 IST,Service 7
medium,100249,Cannot print PDF,01/19/2023 09:21:07 IST,01/20/2023 09:21:07 IST,Service 5
high,100253,Cannot connect to printer,02/25/2023 00:40:13 IST,02/25/2023 14:40:13 IST,Service 6
low,100255,Printer not responding,09/01/2023 23:21:04 IST,09/04/2023 05:21:04 IST,Service 4
high,100256,Printer spooler error,09/17/2023 12:32:54 IST,09/19/2023 06:32:54 IST,Service 7
low,100258,Driver installation error,12/29/2023 16:44:47 IST,12/30/2023 02:44:47 IST,Service 2
critical,100259,Driver installation error,02/28/2023 03:15:31 IST,03/02/2023 05:15:31 IST,Service 10
critical,100264,Cannot connect to printer,06/03/2023 07:07:03 IST,06/05/2023 14:07:03 IST,Service 2
low,100269,Toner not recognized,10/25/2023 18:21:03 IST,10/25/2023 23:21:03 IST,Service 10
high,100270,Printer spooler error,07/06/2023 08:31:10 IST,07/06/2023 15:31:10 IST,Service 6
medium,100274,Printer spooler error,02/01/2023 02:29:13 IST,02/02/2023 01:29:13 IST,Service 10
medium,100275,Toner not recognized,07/12/2023 07:18:53 IST,07/14/2023 14:18:53 IST,Service 4
low,100276,Cannot print PDF,09/30/2023 18:28:40 IST,10/01/2023 13:28:40 IST,Service 9
critical,100281,Slow printing,09/29/2023 03:52:26 IST,09/29/2023 14:52:26 IST,Service 4
high,100285,Printer not responding,01/10/2023 06:09:52 IST,01/13/2023 03:09:52 IST,Service 3
critical,100286,Driver installation error,10/21/2023 10:45:39 IST,10/22/2023 01:45:39 IST,Service 10
low,100291,Cannot connect to printer,04/25/2023 12:52:08 IST,04/27/2023 20:52:08 IST,Service 3
critical,100296,Toner not recognized,11/23/2023 20:37:42 IST,11/24/2023 21:37:42 IST,Service 9
critical,100300,Toner not recognized,03/14/2023 11:22:41 IST,03/16/2023 09:22:41 IST,Service 4
high,100303,Low ink warning,07/20/2023 13:40:38 IST,07/22/2023 08:40:38 IST,Service 3
high,100305,Toner not recognized,09/17/2023 00:01:01 IST,09/19/2023 15:01:01 IST,Service 1
medium,100308,Cannot connect to printer,12/25/2023 16:50:48 IST,12/27/2023 23:50:48 IST,Service 6
high,100313,Cannot connect to printer,04/21/2023 12:29:11 IST,04/21/2023 22:29:11 IST,Service 7
medium,100314,Driver installation error,08/28/2023 12:15:57 IST,08/30/2023 01:15:57 IST,Service 8
high,100317,Network issues,10/04/2023 15:05:04 IST,10/06/2023 09:05:04 IST,Service 6
critical,100320,Slow printing,08/15/2023 19:37:57 IST,08/17/2023 11:37:57 IST,Service 5
medium,100322,Low ink warning,01/08/2023 12:12:21 IST,01/11/2023 01:12:21 IST,Service 2
low,100324,Network issues,12/06/2023 16:05:57 IST,12/06/2023 23:05:57 IST,Service 9
medium,100326,Driver installation error,12/16/2023 08:46:40 IST,12/17/2023 20:46:40 IST,Service 7
medium,100329,Low ink warning,02/12/2023 07:33:51 IST,02/15/2023 00:33:51 IST,Service 6
high,100333,Cannot connect to printer,08/25/2023 23:33:43 IST,08/28/2023 10:33:43 IST,Service 1
high,100338,Cannot connect to printer,10/05/2023 09:17:12 IST,10/06/2023 12:17:12 IST,Service 8
low,100340,Slow printing,05/02/2023 16:47:30 IST,05/03/2023 12:47:30 IST,Service 6
critical,100343,Toner not recognized,04/26/2023 19:42:23 IST,04/26/2023 22:42:23 IST,Service 1
low,100348,Slow printing,12/21/2023 06:29:12 IST,12/23/2023 15:29:12 IST,Service 7
medium,100349,Cannot connect to printer,03/06/2023 00:02:43 IST,03/08/2023 08:02:43 IST,Service 10
low,100352,Low ink warning,06/30/2023 16:43:39 IST,06/30/2023 22:43:39 IST,Service 4
medium,100355,Network issues,02/19/2023 10:49:03 IST,02/21/2023 16:49:03 IST,Service 4
critical,100359,Printer not responding,08/01/2023 23:57:18 IST,08/04/2023 10:57:18 IST,Service 7
high,100364,Paper jam,05/08/2023 09:57:41 IST,05/09/2023 00:57:41 IST,Service 6
low,100365,Printer spooler error,08/09/2023 08:29:49 IST,08/09/2023 13:29:49 IST,Service 6
low,100369,Printer not responding,07/16/2023 22:47:14 IST,07/18/2023 05:47:14 IST,Service 10
high,100373,Toner not recognized,09/17/2023 17:38:03 IST,09/18/2023 22:38:03 IST,Service 10
medium,100376,Paper jam,10/16/2023 09:01:16 IST,10/16/2023 17:01:16 IST,Service 1
critical,100381,Printer not responding,12/16/2023 14:38:32 IST,12/18/2023 10:38:32 IST,Service 2
high,100383,Driver installation error,03/14/2023 01:49:44 IST,03/16/2023 15:49:44 IST,Service 7
low,100387,Driver installation error,01/30/2023 10:17:29 IST,02/01/2023 12:17:29 IST,Service 1
high,100388,Network issues,11/06/2023 03:07:32 IST,11/06/2023 05:07:32 IST,Service 7
low,100393,Cannot connect to printer,09/15/2023 06:38:05 IST,09/15/2023 14:38:05 IST,Service 4
medium,100397,Toner not recognized,04/25/2023 08:12:32 IST,04/27/2023 03:12:32 IST,Service 8
high,100399,Driver installation error,05/26/2023 07:15:52 IST,05/27/2023 06:15:52 IST,Service 6
critical,100402,Cannot connect to printer,12/23/2023 18:18:39 IST,12/24/2023 17:18:39 IST,Service 4
high,100403,Driver installation error,05/11/2023 22:08:30 IST,05/14/2023 20:08:30 IST,Service 5
medium,100407,Cannot print PDF,09/24/2023 02:04:52 IST,09/24/2023 12:04:52 IST,Service 8
low,100408,Printer spooler error,09/19/2023 09:36:17 IST,09/20/2023 03:36:17 IST,Service 2
low,100411,Printer not responding,11/12/2023 06:07:00 IST,11/14/2023 11:07:00 IST,Service 6
critical,100416,Cannot print PDF,03/12/2023 04:05:33 IST,03/14/2023 06:05:33 IST,Service 2
critical,100418,Cannot connect to printer,03/17/2023 10:40:52 IST,03/19/2023 01:40:52 IST,Service 8
medium,100419,Cannot connect to printer,03/26/2023 22:47:08 IST,03/28/2023 18:47:08 IST,Service 7
low,100421,Low ink warning,11/05/2023 20:13:48 IST,11/08/2023 07:13:48 IST,Service 5
low,100423,Printer not responding,03/18/2023 03:54:28 IST,03/19/2023 11:54:28 IST,Service 6
medium,100427,Cannot print PDF,11/01/2023 03:40:24 IST,11/03/2023 00:40:24 IST,Service 8
high,100430,Low ink warning,09/12/2023 05:36:53 IST,09/15/2023 05:36:53 IST,Service 8
critical,100433,Cannot print PDF,01/26/2023 08:59:25 IST,01/27/2023 01:59:25 IST,Service 6
high,100438,Network issues,11/17/2023 10:32:43 IST,11/17/2023 11:32:43 IST,Service 5
high,100443,Cannot print PDF,08/15/2023 21:31:58 IST,08/16/2023 03:31:58 IST,Service 4
low,100446,Paper jam,01/26/2023 23:30:27 IST,01/29/2023 20:30:27 IST,Service 2
low,100451,Low ink warning,06/03/2023 09:30:17 IST,06/03/2023 21:30:17 IST,Service 6
critical,100453,Printer spooler error,09/07/2023 23:52:19 IST,09/09/2023 22:52:19 IST,Service 8
high,100458,Low ink warning,07/23/2023 11:13:11 IST,07/25/2023 16:13:11 IST,Service 6
low,100463,Slow printing,01/26/2023 23:28:11 IST,01/28/2023 04:28:11 IST,Service 3
medium,100468,Toner not recognized,02/02/2023 06:22:04 IST,02/04/2023 07:22:04 IST,Service 4
low,100470,Printer spooler error,09/23/2023 06:24:34 IST,09/25/2023 01:24:34 IST,Service 10
medium,100474,Printer not responding,05/20/2023 03:25:48 IST,05/21/2023 17:25:48 IST,Service 1
critical,100479,Toner not recognized,08/25/2023 03:20:55 IST,08/26/2023 17:20:55 IST,Service 6
low,100484,Network issues,03/31/2023 03:35:43 IST,04/02/2023 03:35:43 IST,Service 6
critical,100487,Printer not responding,01/10/2023 22:49:30 IST,01/12/2023 01:49:30 IST,Service 3
high,100492,Printer spooler error,02/05/2023 14:08:59 IST,02/06/2023 04:08:59 IST,Service 4
critical,100494,Toner not recognized,10/24/2023 00:30:31 IST,10/26/2023 02:30:31 IST,Service 3
high,100495,Cannot print PDF,02/17/2023 03:15:15 IST,02/17/2023 21:15:15 IST,Service 8
medium,100498,Low ink warning,03/22/2023 07:02:34 IST,03/22/2023 23:02:34 IST,Service 10
high,100500,Printer spooler error,05/16/2023 17:19:06 IST,05/18/2023 20:19:06 IST,Service 10
low,100504,Toner not recognized,09/30/2023 11:47:43 IST,10/02/2023 06:47:43 IST,Service 4
medium,100508,Cannot print PDF,03/01/2023 22:49:25 IST,03/03/2023 13:49:25 IST,Service 3
critical,100509,Network issues,09/26/2023 14:24:11 IST,09/29/2023 14:24:11 IST,Service 4
low,100511,Printer not responding,03/05/2023 13:42:28 IST,03/06/2023 04:42:28 IST,Service 9
high,100516,Driver installation error,03/11/2023 05:21:50 IST,03/12/2023 21:21:50 IST,Service 4
medium,100520,Paper jam,05/27/2023 13:12:53 IST,05/27/2023 23:12:53 IST,Service 7
critical,100525,Cannot print PDF,06/06/2023 03:03:24 IST,06/06/2023 22:03:24 IST,Service 2
critical,100526,Driver installation error,07/01/2023 05:51:32 IST,07/02/2023 21:51:32 IST,Service 8
high,100527,Printer not responding,10/19/2023 20:02:29 IST,10/21/2023 16:02:29 IST,Service 8
high,100529,Printer spooler error,01/11/2023 11:01:18 IST,01/11/2023 15:01:18 IST,Service 3
critical,100534,Slow printing,11/22/2023 15:12:50 IST,11/24/2023 07:12:50 IST,Service 10
low,100539,Network issues,05/14/2023 08:35:53 IST,05/14/2023 10:35:53 IST,Service 4
medium,100540,Slow printing,10/15/2023 13:38:11 IST,10/16/2023 23:38:11 IST,Service 2
low,100541,Printer not responding,03/17/2023 04:56:57 IST,03/18/2023 19:56:57 IST,Service 8
low,100543,Printer not responding,09/27/2023 03:42:53 IST,09/27/2023 21:42:53 IST,Service 2
high,100545,Toner not recognized,12/14/2023 14:53:04 IST,12/14/2023 21:53:04 IST,Service 1
critical,100546,Cannot connect to printer,01/11/2023 17:17:43 IST,01/13/2023 04:17:43 IST,Service 5
high,100547,Toner not recognized,08/23/2023 17:18:05 IST,08/26/2023 14:18:05 IST,Service 5
high,100550,Cannot connect to printer,04/08/2023 17:05:43 IST,04/09/2023 21:05:43 IST,Service 7
critical,100554,Toner not recognized,07/26/2023 03:43:26 IST,07/28/2023 07:43:26 IST,Service 8
critical,100556,Toner not recognized,03/05/2023 03:24:05 IST,03/05/2023 11:24:05 IST,Service 4
critical,100560,Network issues,06/04/2023 17:44:20 IST,06/05/2023 00:44:20 IST,Service 1
medium,100562,Printer spooler error,09/27/2023 02:37:15 IST,09/28/2023 07:37:15 IST,Service 5
critical,100563,Printer not responding,08/15/2023 11:14:24 IST,08/16/2023 22:14:24 IST,Service 3
high,100566,Cannot connect to printer,06/19/2023 14:16:47 IST,06/20/2023 04:16:47 IST,Service 9
high,100569,Driver installation error,09/08/2023 13:41:46 IST,09/08/2023 17:41:46 IST,Service 2
high,100570,Low ink warning,04/05/2023 03:26:16 IST,04/06/2023 00:26:16 IST,Service 5
critical,100573,Network issues,04/27/2023 13:25:19 IST,04/29/2023 17:25:19 IST,Service 4
critical,100578,Printer not responding,01/09/2023 15:06:46 IST,01/11/2023 04:06:46 IST,Service 8
medium,100581,Cannot connect to printer,04/01/2023 12:02:35 IST,04/02/2023 16:02:35 IST,Service 10
critical,100583,Network issues,08/24/2023 03:59:08 IST,08/26/2023 06:59:08 IST,Service 1
high,100584,Driver installation error,05/17/2023 01:23:20 IST,05/19/2023 03:23:20 IST,Service 3
medium,100589,Printer spooler error,03/19/2023 00:53:40 IST,03/19/2023 01:53:40 IST,Service 7
high,100594,Toner not recognized,01/01/2024 02:22:45 IST,01/03/2024 15:22:45 IST,Service 7
low,100597,Driver installation error,10/16/2023 01:06:35 IST,10/16/2023 04:06:35 IST,Service 1
medium,100600,Low ink warning,04/09/2023 12:58:12 IST,04/11/2023 06:58:12 IST,Service 5
high,100605,Printer spooler error,01/13/2023 07:53:08 IST,01/15/2023 13:53:08 IST,Service 2
medium,100610,Low ink warning,09/30/2023 02:29:28 IST,09/30/2023 07:29:28 IST,Service 6
critical,100614,Printer not responding,07/15/2023 10:17:54 IST,07/17/2023 13:17:54 IST,Service 10
medium,100618,Paper jam,08/25/2023 14:09:55 IST,08/26/2023 16:09:55 IST,Service 3
critical,100622,Paper jam,09/10/2023 09:40:35 IST,09/11/2023 20:40:35 IST,Service 9
medium,100624,Cannot print PDF,03/29/2023 03:10:07 IST,03/30/2023 19:10:07 IST,Service 8
high,100625,Cannot connect to printer,01/26/2023 01:53:37 IST,01/26/2023 02:53:37 IST,Service 9
medium,100628,Driver installation error,05/13/2023 03:24:19 IST,05/14/2023 10:24:19 IST,Service 3
medium,100630,Slow printing,01/24/2023 21:59:36 IST,01/26/2023 23:59:36 IST,Service 10
high,100634,Network issues,09/25/2023 20:24:00 IST,09/26/2023 16:24:00 IST,Service 4
medium,100637,Printer not responding,06/01/2023 17:08:41 IST,06/02/2023 03:08:41 IST,Service 8
critical,100639,Cannot connect to printer,11/19/2023 07:33:05 IST,11/20/2023 07:33:05 IST,Service 3
low,100644,Printer spooler error,01/30/2023 09:49:07 IST,01/31/2023 22:49:07 IST,Service 8
critical,100645,Toner not recognized,05/07/2023 14:22:12 IST,05/10/2023 07:22:12 IST,Service 4
critical,100649,Slow printing,09/14/2023 03:54:29 IST,09/15/2023 19:54:29 IST,Service 8
medium,100650,Paper jam,07/17/2023 02:44:22 IST,07/18/2023 04:44:22 IST,Service 4
critical,100653,Printer not responding,04/28/2023 05:18:48 IST,04/28/2023 06:18:48 IST,Service 5
high,100657,Cannot print PDF,06/09/2023 07:17:01 IST,06/09/2023 18:17:01 IST,Service 7
medium,100661,Driver installation error,06/19/2023 14:11:58 IST,06/22/2023 11:11:58 IST,Service 5
high,100666,Paper jam,07/26/2023 09:29:36 IST,07/26/2023 23:29:36 IST,Service 2
high,100669,Cannot print PDF,11/20/2023 12:53:26 IST,11/20/2023 20:53:26 IST,Service 1
medium,100672,Paper jam,06/06/2023 13:45:07 IST,06/09/2023 13:45:07 IST,Service 1
low,100676,Paper jam,06/28/2023 16:38:40 IST,07/01/2023 08:38:40 IST,Service 3
high,100679,Low ink warning,12/03/2023 12:56:15 IST,12/03/2023 16:56:15 IST,Service 3
medium,100683,Cannot print PDF,08/19/2023 15:11:57 IST,08/20/2023 19:11:57 IST,Service 5
high,100687,Network issues,07/30/2023 01:02:13 IST,08/01/2023 09:02:13 IST,Service 5
critical,100692,Printer spooler error,04/22/2023 16:39:53 IST,04/24/2023 14:39:53 IST,Service 3
critical,100695,Low ink warning,07/07/2023 20:55:06 IST,07/09/2023 00:55:06 IST,Service 2
high,100696,Printer not responding,08/05/2023 16:20:53 IST,08/06/2023 17:20:53 IST,Service 6
low,100700,Printer spooler error,02/01/2023 09:48:28 IST,02/02/2023 10:48:28 IST,Service 2
high,100703,Low ink warning,01/06/2023 09:26:09 IST,01/08/2023 07:26:09 IST,Service 9
low,100705,Cannot connect to printer,06/29/2023 23:09:08 IST,06/30/2023 14:09:08 IST,Service 7
critical,100707,Network issues,08/12/2023 14:26:41 IST,08/15/2023 04:26:41 IST,Service 5
high,100710,Toner not recognized,08/14/2023 20:30:31 IST,08/15/2023 11:30:31 IST,Service 8
critical,100714,Low ink warning,01/05/2023 02:51:37 IST,01/06/2023 07:51:37 IST,Service 8
critical,100717,Driver installation error,03/09/2023 04:30:06 IST,03/09/2023 15:30:06 IST,Service 9
high,100722,Driver installation error,04/02/2023 20:17:09 IST,04/05/2023 01:17:09 IST,Service 6
high,100724,Toner not recognized,05/25/2023 13:38:17 IST,05/28/2023 11:38:17 IST,Service 6
medium,100727,Toner not recognized,08/26/2023 10:18:00 IST,08/28/2023 19:18:00 IST,Service 2
critical,100728,Network issues,02/05/2023 14:10:03 IST,02/08/2023 01:10:03 IST,Service 3
low,100729,Paper jam,08/27/2023 19:59:59 IST,08/28/2023 12:59:59 IST,Service 9
medium,100734,Cannot print PDF,01/07/2023 10:24:06 IST,01/10/2023 06:24:06 IST,Service 3
low,100739,Printer spooler error,09/20/2023 13:03:55 IST,09/21/2023 16:03:55 IST,Service 2
medium,100742,Driver installation error,01/15/2023 23:22:32 IST,01/16/2023 14:22:32 IST,Service 8
medium,100743,Cannot print PDF,03/20/2023 12:55:36 IST,03/21/2023 10:55:36 IST,Service 10
high,100744,Toner not recognized,04/26/2023 14:58:02 IST,04/28/2023 03:58:02 IST,Service 7
high,100749,Printer spooler error,02/10/2023 22:27:35 IST,02/12/2023 18:27:35 IST,Service 3
medium,100752,Driver installation error,02/28/2023 22:47:22 IST,03/02/2023 09:47:22 IST,Service 6
high,100756,Toner not recognized,07/15/2023 19:35:58 IST,07/18/2023 15:35:58 IST,Service 3
critical,100757,Paper jam,07/01/2023 06:15:34 IST,07/02/2023 12:15:34 IST,Service 8
critical,100761,Driver installation error,03/28/2023 08:29:17 IST,03/29/2023 08:29:17 IST,Service 7
low,100762,Low ink warning,10/22/2023 12:55:30 IST,10/24/2023 01:55:30 IST,Service 2
medium,100767,Cannot connect to printer,05/27/2023 18:46:54 IST,05/30/2023 06:46:54 IST,Service 8
high,100772,Slow printing,06/20/2023 21:19:20 IST,06/23/2023 11:19:20 IST,Service 5
low,100774,Cannot print PDF,04/08/2023 06:35:59 IST,04/08/2023 23:35:59 IST,Service 3
high,100775,Toner not recognized,03/24/2023 23:53:57 IST,03/26/2023 10:53:57 IST,Service 8
medium,100778,Low ink warning,08/06/2023 02:21:35 IST,08/08/2023 10:21:35 IST,Service 4
critical,100779,Cannot print PDF,10/17/2023 02:10:13 IST,10/17/2023 05:10:13 IST,Service 10
high,100782,Cannot connect to printer,03/11/2023 20:06:04 IST,03/14/2023 03:06:04 IST,Service 6
critical,100786,Low ink warning,09/07/2023 10:20:53 IST,09/09/2023 17:20:53 IST,Service 7
high,100787,Cannot print PDF,11/30/2023 23:37:53 IST,12/02/2023 23:37:53 IST,Service 3
medium,100789,Cannot connect to printer,05/07/2023 18:29:53 IST,05/10/2023 11:29:53 IST,Service 4
high,100791,Slow printing,06/14/2023 09:31:44 IST,06/14/2023 16:31:44 IST,Service 2
high,100793,Network issues,10/21/2023 11:59:49 IST,10/21/2023 18:59:49 IST,Service 8
medium,100797,Slow printing,07/29/2023 15:17:54 IST,08/01/2023 03:17:54 IST,Service 1
medium,100798,Printer spooler error,03/19/2023 03:07:41 IST,03/19/2023 15:07:41 IST,Service 4
low,100803,Toner not recognized,05/04/2023 20:55:45 IST,05/06/2023 17:55:45 IST,Service 4
critical,100807,Cannot print PDF,12/14/2023 02:58:08 IST,12/14/2023 09:58:08 IST,Service 2
critical,100808,Toner not recognized,02/06/2023 12:16:40 IST,02/06/2023 14:16:40 IST,Service 8
high,100813,Driver installation error,05/24/2023 09:13:25 IST,05/25/2023 20:13:25 IST,Service 10
high,100816,Low ink warning,02/05/2023 11:31:06 IST,02/06/2023 02:31:06 IST,Service 3
critical,100819,Printer spooler error,09/27/2023 18:44:48 IST,09/29/2023 16:44:48 IST,Service 2
high,100821,Driver installation error,03/10/2023 15:51:24 IST,03/10/2023 23:51:24 IST,Service 3
low,100823,Network issues,12/18/2023 09:08:38 IST,12/19/2023 13:08:38 IST,Service 1
low,100828,Network issues,11/01/2023 12:12:42 IST,11/03/2023 06:12:42 IST,Service 2
medium,100829,Toner not recognized,02/11/2023 18:47:57 IST,02/14/2023 05:47:57 IST,Service 4
low,100831,Low ink warning,12/25/2023 08:56:59 IST,12/28/2023 02:56:59 IST,Service 5
low,100835,Low ink warning,08/24/2023 08:45:57 IST,08/26/2023 09:45:57 IST,Service 5
critical,100839,Paper jam,09/07/2023 02:43:04 IST,09/07/2023 09:43:04 IST,Service 1
critical,100841,Printer spooler error,08/02/2023 20:17:54 IST,08/03/2023 01:17:54 IST,Service 5
high,100842,Printer not responding,03/23/2023 00:21:20 IST,03/24/2023 05:21:20 IST,Service 1
